,logFC,P.Value,adj.P.Val
Slc6a8,-0.7311399,0.07653321977689516,0.6444265793672154
Slc35e4,-1.4662771,0.0406155980895667,0.5033412589759912
Wdr7,-1.3391314,0.07650355784441501,0.6444265793672154
Trim25,-0.42387408,0.040848175567954184,0.5036480766059831
Shoc2,-0.62056804,0.07626142411255432,0.6437672956790168
Zfp78,-20.902859,0.04049382003234673,0.5027790558509319
Mrpl4,-0.41237614,0.07622325668941551,0.6437672956790168
Srp14,-0.19571282,0.040860028441769065,0.5036480766059831
Arf5,-0.19347541,0.07604521443219459,0.6434620429852336
Klf6,-0.5300395,0.04075454045379958,0.5036480766059831
Zfp518a,-0.78724295,0.0760917916897167,0.6434846272201115
Lin37,-0.5175766,0.040658738463566615,0.5034933406752242
Spopl,-0.9337109,0.0759294730401443,0.64316327423148
H2-DMa,-1.455587,0.040018169956921014,0.4986497454956277
Greb1,-0.65601987,0.07582749730259332,0.6427962422086215
L2hgdh,-0.9886736,0.03985360966254887,0.4977594048329575
Adh1,-0.42687237,0.075535970129146,0.6422679417263343
Cdc34,-0.3899981,0.040121839775847566,0.4993350498448791
Mpv17,-0.6891557,0.07554588491141712,0.6422679417263343
Rab43,-1.0302689,0.039683806790226206,0.49634415425241646
Pik3r2,-0.79527825,0.07539969502213584,0.6418303518545772
Pdzrn3,-0.96662533,0.03961750401474705,0.49586780487973636
Nedd1,-0.983218,0.07538879079285206,0.6418303518545772
Hsd17b14,-2.1130435,0.03933975568209676,0.4941511984285106
Pafah1b3,-0.39112914,0.07514580202942996,0.6418303518545772
Bbs4,-2.6254156,0.03902610187637625,0.49263457337171346
Hba-a1,-26.600061,0.07542136667499584,0.6418303518545772
Galntl6,-0.8935093,0.03907884796450057,0.49263457337171346
Slc35b2,-0.44428506,0.07511370892407626,0.6418303518545772
Rbm48,-0.9159249,0.03907114390003024,0.49263457337171346
Ttc1,-0.5707616,0.07513575625567663,0.6418303518545772
Dalrd3,-0.5964455,0.039064559666121434,0.49263457337171346
Wee1,-2.3723729,0.07527766252157067,0.6418303518545772
Ttc14,-0.47094774,0.039017353852747835,0.49263457337171346
Gngt2,-2.3174593,0.07516880231565422,0.6418303518545772
Abcb9,-0.47959834,0.03906401066138319,0.49263457337171346
Otc,-0.4486091,0.07492779769430798,0.6410448826105521
Sfxn1,-0.35913032,0.03896751664833851,0.49263457337171346
Cdkn2aipnl,-0.61792594,0.07475645829461912,0.640421458212398
Vmac,-0.4771787,0.038824744322659234,0.49263457337171346
Dhx35,-1.4815696,0.07446708604662602,0.6392819262810744
Klhl18,-1.2355975,0.03842434523906693,0.49036384813807055
Lage3,-0.31288448,0.07432255056319144,0.638665125206339
Bco1,-1.7366294,0.038161417807529054,0.48807175773777883
Ifih1,-0.7200576,0.07416458502394996,0.6376194973707792
Snapc1,-0.965788,0.03833880448972332,0.4896277698385959
Itgb1,-0.49549326,0.07397701748387323,0.6366298375338414
Trex2,-20.124836,0.03805762668732766,0.4874538438603564
Baz1b,-0.60767424,0.07360393812872987,0.6343511548485384
Eef2k,-0.61852,0.03810917132430166,0.48775853436413186
Ankrd11,-0.48535886,0.07351791247252244,0.6342318487381624
Saxo2,-1.8555291,0.03787638871352991,0.48548634490361864
Tnfsf13os,-1.259189,0.07342109251461676,0.6340190952134449
Gm43948,-2.3318677,0.03783969365435669,0.48548634490361864
Cc2d1b,-0.96876353,0.07331308575990239,0.6333976676788421
Prss30,-20.403324,0.037711900210147906,0.48472017706144527
Frg1,-0.49320012,0.07306035868114995,0.6323009429395865
