,logFC,AveExpr,t,P.Value,adj.P.Val,B,abs.log2FC
Gm26766,-16.916431,,,0.9832790261321174,1.0,,-16.916431
Il9r,-17.4644,,,0.9832790261321174,1.0,,-17.4644
Abcc12,-18.083103,,,0.9832790261321174,1.0,,-18.083103
Mei1,-17.67088,,,0.9832790261321174,1.0,,-17.67088
Kcnk3,-17.464458,,,0.9832790261321174,1.0,,-17.464458
Sez6,-17.385906,,,0.9832790261321174,1.0,,-17.385906
Gm43634,-17.2728,,,0.9832790261321174,1.0,,-17.2728
Trpm3,-17.413916,,,0.9832790261321174,1.0,,-17.413916
Tnfsf14,-17.212765,,,0.9832790261321174,1.0,,-17.212765
Slc38a3,-17.834953,,,0.9832790261321174,1.0,,-17.834953
Atp1a3,-17.303762,,,0.9832790261321174,1.0,,-17.303762
Zfyve28,-17.212765,,,0.9832790261321174,1.0,,-17.212765
Gm10518,-17.394493,,,0.9832790261321174,1.0,,-17.394493
Gm29543,-17.438507,,,0.9832790261321174,1.0,,-17.438507
2310047D07Rik,-16.801748,,,0.9832790261321174,1.0,,-16.801748
Pdcd1lg2,-16.760962,,,0.9832790261321174,1.0,,-16.760962
Stmn3,-17.172783,,,0.9832790261321174,1.0,,-17.172783
Lrrtm3,-17.503304,,,0.9832790261321174,1.0,,-17.503304
Heyl,-16.988226,,,0.9832790261321174,1.0,,-16.988226
Ctnna2,-17.773598,,,0.9832790261321174,1.0,,-17.773598
Sbk2,-17.099827,,,0.9832790261321174,1.0,,-17.099827
Cyp7b1,-17.212515,,,0.9832790261321174,1.0,,-17.212515
Sall3,-17.51081,,,0.9832790261321174,1.0,,-17.51081
Grin1,-17.122208,,,0.9832790261321174,1.0,,-17.122208
Slc8a3,-17.050219,,,0.9832790261321174,1.0,,-17.050219
Camkv,-18.559523,,,0.9832790261321174,1.0,,-18.559523
Gapt,-17.308464,,,0.9832790261321174,1.0,,-17.308464
Gm16185,-17.839188,,,0.9832790261321174,1.0,,-17.839188
A830008E24Rik,-17.287323,,,0.9832790261321174,1.0,,-17.287323
Tceal5,-16.950708,,,0.9832790261321174,1.0,,-16.950708
