,logFC,P.Value,adj.P.Val
Epas1,1.1227823,0.0004621910452893867,0.014563425920770869
Ndufb6,0.23601145,1.6689362128655552e-05,0.0009841683244525639
Tomm7,0.1410561,0.0004696729844527602,0.014685069632052654
Nudcd2,0.35425603,1.6903213985960757e-05,0.0009901339312509614
Cbx3,0.32405296,0.00046798518735821745,0.014685069632052654
Pxmp4,0.56300604,1.771204825251753e-05,0.0010340658602707327
Rpl10,0.06054627,0.00047998988355322294,0.014955429474611323
Cd74,1.4390956,1.8691749392249584e-05,0.0010876493777152384
Rasa4,0.39242372,0.0004857603797827716,0.015088648868525194
Ssr2,0.21271601,1.9059707346656174e-05,0.0011054001227814817
Chp1,0.34285834,0.0004924587007468982,0.015182415347763581
Nhp2,0.2531567,1.986554298456927e-05,0.0011445809405502814
Hspa1b,0.9022477,0.000490552616397854,0.015150230453355866
Dbi,0.1717137,2.0894105376180763e-05,0.0011966712900348074
Gapdh,0.15738957,0.0004968377002310767,0.015290593530929437
Ciapin1,0.5020008,2.234390762844417e-05,0.001266611254047256
Nedd9,0.6805893,0.0005054709225879879,0.015501990440905257
Hnrnpf,0.1951971,2.335532961014694e-05,0.0013196887692575954
Gm20707,1.9651674,0.0005248444286420584,0.016068103039245458
Hsd17b4,0.4323314,2.3864702046958223e-05,0.0013441487470230668
Fbxl14,0.5660375,0.0005296047506257943,0.016116584553013246
Hn1,0.20002562,2.4183002618036995e-05,0.001357724936123847
Clca3a2,0.7523871,0.0005350460125468519,0.016183069842488514
Mrpl36,0.25102553,2.443930533555304e-05,0.0013641568362456485
Snhg6,0.31589562,0.0005408249108879529,0.016273829039441776
Scarb2,0.499278,2.4662955022790856e-05,0.0013715256601756448
Gps2,0.42933947,0.0005484534129597862,0.016447050897512496
Pfkp,0.6168831,2.992710334964915e-05,0.0016332577241098898
Fxyd3,0.24751541,0.0005547979852031729,0.016543766236101234
Nsmce4a,0.3743176,2.9673193061506284e-05,0.001624445550373364
Tmsb15b1,0.8998161,0.0005561751587533175,0.016543766236101234
Mrps26,0.3071143,3.0169379451146172e-05,0.0016413823687151444
Limk2,0.34779227,0.0006106971038281396,0.017744373667204445
Tppp3,0.9264854,3.171043026392223e-05,0.0017093478252389732
Btg1,0.2774709,0.0006284553366670107,0.01810466496926128
Hmgb2,0.4062322,3.074426646780147e-05,0.0016674968970329482
Fnbp1l,0.39698154,0.0006448575542919943,0.018508907398035054
Pycard,0.18920387,3.222195576850032e-05,0.0017316098737610282
Tra2a,0.27409673,0.0006739068939649592,0.019162727908812665
